alpha_key,control_flag,BT_Transaction_Amount,BT_flag,nsegments,BT_Transaction_Date
user_00000,0,642.6,1,"['1000029', '1000005', '1000024', '1000004', '1000000']",2025-10-25
user_00001,0,0.0,0,"['1000001', '1000015', '1000009', '1000005']",2025-06-25
user_00002,0,0.0,0,"['1000000', '1000014', '1000029', '1000001']",2025-02-24
user_00003,0,2283.78,1,"['1000024', '1000018', '1000009', '1000000']",2025-12-21
user_00004,1,3197.26,1,"['1000035', '1000009']",2025-04-30
user_00005,0,0.0,0,"['1000007', '1000031', '1000030']",2025-05-22
user_00006,0,0.0,0,"['1000023', '1000029', '1000002', '1000025', '1000006']",2025-08-12
user_00007,0,0.0,0,"['1000032', '1000007', '1000001']",2025-03-07
user_00008,1,0.0,0,"['1000008', '1000025', '1000010', '1000000']",2025-05-07
user_00009,0,0.0,0,"['1000003', '1000013', '1000007', '1000020', '1000037', '1000019']",2025-07-30
user_00010,0,0.0,0,"['1000008', '1000012']",2025-09-25
user_00011,0,0.0,0,"['1000034', '1000020', '1000028']",2025-02-21
user_00012,0,2894.01,1,"['1000006', '1000024', '1000002']",2025-10-30
user_00013,0,0.0,0,"['1000024', '1000032']",2025-04-12
user_00014,0,1950.74,1,"['1000034', '1000002', '1000029', '1000009', '1000020', '1000010']",2025-11-30
user_00015,1,0.0,0,"['1000006', '1000021', '1000019', '1000014', '1000011', '1000022']",2025-11-28
user_00016,0,0.0,0,"['1000008', '1000001', '1000012']",2025-09-17
user_00017,1,0.0,0,"['1000023', '1000005', '1000002', '1000034', '1000031', '1000017']",2025-11-22
user_00018,0,0.0,0,"['1000027', '1000038']",2025-02-28
user_00019,0,0.0,0,"['1000014', '1000004', '1000018', '1000034', '1000021', '1000000']",2025-06-19
user_00020,0,0.0,0,"['1000035', '1000025', '1000008', '1000039', '1000023']",2025-02-21
user_00021,0,0.0,0,"['1000029', '1000036', '1000000']",2025-06-24
user_00022,0,0.0,0,"['1000026', '1000007', '1000032', '1000029']",2025-08-01
user_00023,0,0.0,0,"['1000026', '1000027', '1000005', '1000008', '1000002']",2025-07-26
user_00024,0,0.0,0,"['1000029', '1000018', '1000016']",2025-01-28
user_00025,1,0.0,0,"['1000004', '1000016', '1000009']",2025-01-31
user_00026,0,0.0,0,"['1000039', '1000031', '1000011', '1000028']",2025-12-31
user_00027,1,0.0,0,"['1000003', '1000002']",2025-04-03
user_00028,1,0.0,0,"['1000017', '1000023']",2025-06-30
user_00029,0,5908.79,1,"['1000001', '1000004', '1000012']",2025-07-31
user_00030,0,1140.8,1,"['1000001', '1000008', '1000009', '1000035']",2025-02-28
user_00031,0,0.0,0,"['1000006', '1000003', '1000000']",2025-04-28
user_00032,1,598.22,1,"['1000002', '1000025', '1000008', '1000003']",2025-08-08
user_00033,0,0.0,0,"['1000035', '1000027', '1000002']",2025-03-19
user_00034,0,0.0,0,"['1000005', '1000030', '1000021']",2025-10-17
user_00035,1,0.0,0,"['1000036', '1000001', '1000026', '1000007']",2025-08-25
user_00036,1,0.0,0,"['1000025', '1000022']",2025-12-27
user_00037,0,2478.34,1,"['1000000', '1000004', '1000026', '1000002']",2025-07-26
user_00038,1,0.0,0,"['1000006', '1000003', '1000002']",2025-10-20
user_00039,0,0.0,0,"['1000030', '1000001', '1000012', '1000021']",2025-04-30
user_00040,0,0.0,0,"['1000001', '1000018', '1000006']",2025-09-11
user_00041,0,1910.97,1,"['1000030', '1000027', '1000007', '1000029', '1000017']",2025-12-09
user_00042,0,0.0,0,"['1000007', '1000001']",2025-10-28
user_00043,1,0.0,0,"['1000001', '1000005', '1000035', '1000039', '1000003']",2025-10-11
user_00044,0,0.0,0,"['1000036', '1000022', '1000009']",2025-06-14
user_00045,0,0.0,0,"['1000037', '1000022']",2025-08-06
user_00046,0,0.0,0,"['1000015', '1000004', '1000034', '1000003']",2025-08-05
user_00047,1,0.0,0,"['1000000', '1000005', '1000009']",2025-03-18
user_00048,0,3462.68,1,"['1000007', '1000036', '1000008', '1000033']",2025-04-06
user_00049,1,0.0,0,"['1000015', '1000011', '1000003', '1000005', '1000032']",2025-08-25
user_00050,1,0.0,0,"['1000026', '1000008', '1000034', '1000029', '1000002']",2025-08-21
user_00051,1,0.0,0,"['1000016', '1000027', '1000028', '1000001']",2025-09-09
user_00052,0,0.0,0,"['1000004', '1000008', '1000005', '1000002', '1000017', '1000010']",2025-08-09
user_00053,0,1635.77,1,"['1000003', '1000015', '1000001', '1000007']",2025-08-01
user_00054,0,0.0,0,"['1000027', '1000033']",2025-07-09
