alpha_key,date_first_relation,date_of_birth,flag_last90_active_mob_rob,gender,state,amount_deposit_spot_balance,total_deposits_ixi,Business Line Of Credit,Cdira,Checking,Commercial Loan,Credit Card,Escrow,Standalone Savings,Home Equity,Investments,Loan,Loan - Personal,Loc - Personal,Money Market,Mortgage,Odloc,Other,Savings,age,tenure_years,sow,n_products
user_00000,2022-11-11,1999-10-07,1,Female,PA,13215.21,78873.18,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,26.5,3.36,0.1676,5
user_00001,2025-03-29,1965-07-12,1,Female,WY,21798.11,251578.11,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,60.7,0.98,0.0866,4
user_00002,2016-08-19,1971-07-01,0,Male,AR,85403.29,174332.97,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,54.7,9.59,0.4899,4
user_00003,2015-10-29,1982-04-13,1,Male,GA,43731.09,2186554.42,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,43.9,10.4,0.02,3
user_00004,2014-07-11,1982-07-29,1,Male,NY,25381.46,66941.16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,43.6,11.7,0.3792,3
user_00005,2011-12-12,1961-04-18,1,Male,MA,15225.62,91060.68,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,64.9,14.28,0.1672,7
user_00006,2018-07-08,1999-12-06,1,Male,NC,13340.56,59916.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.3,7.71,0.2227,2
user_00007,2013-09-15,1969-05-10,1,Female,NY,38419.15,178659.39,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,56.9,12.52,0.215,6
user_00008,2015-05-06,1994-02-25,1,Male,SD,511648.32,1216469.79,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,32.1,10.88,0.4206,3
user_00009,2021-09-17,1999-07-09,1,Male,CA,88730.75,934156.18,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26.7,4.51,0.095,3
