Communication,alpha_key,start_date,end_date,start_balance,end_balance,start_accounts,end_accounts,nsegments,Contact_flag,control_flag
day1,user_45,2024-01-02,2024-01-09,2155.54,2676.67,1,1,"['1000137', '1000068', '1000087', '1000028']",1,0
day1,user_229,2024-05-15,2024-05-22,3085.77,3613.89,2,2,"['1000046', '1000012']",1,0
day90,user_215,2024-04-22,2024-04-29,2575.84,2755.97,1,1,"['1000149', '1000005', '1000147', '1000097']",1,0
day90,user_274,2024-04-15,2024-04-22,5293.05,5540.24,1,2,"['1000103', '1000062', '1000078', '1000148']",1,0
day5,user_10,2024-01-18,2024-01-25,3034.6,2929.69,1,1,"['1000040', '1000108', '1000087']",1,0
day5,user_16,2024-01-14,2024-01-21,2003.17,2028.39,0,0,"['1000096', '1000020', '1000141', '1000075']",0,1
day61,user_192,2024-01-10,2024-01-17,0.0,324.49,1,1,"['1000037', '1000001', '1000027']",1,0
day1,user_289,2024-01-27,2024-02-03,2195.6,2305.4,1,1,['1000045'],0,1
day31,user_149,2024-03-10,2024-03-17,222.01,432.78,1,1,"['1000027', '1000097', '1000009']",1,0
day31,user_197,2024-04-29,2024-05-06,3183.02,2663.52,2,3,['1000118'],1,0
day90,user_292,2024-03-08,2024-03-15,2823.37,2649.5,1,1,"['1000070', '1000011']",1,0
day61,user_282,2024-04-12,2024-04-19,1222.87,1154.8,1,1,"['1000080', '1000030', '1000137']",0,1
day61,user_205,2024-02-26,2024-03-04,2906.03,2876.2,0,0,"['1000019', '1000073', '1000060', '1000069']",0,1
day31,user_51,2024-05-15,2024-05-22,4845.31,5845.51,1,1,"['1000050', '1000039', '1000095']",1,0
day31,user_230,2024-04-08,2024-04-15,3883.49,4362.36,1,1,"['1000066', '1000097', '1000083', '1000054']",1,0
day31,user_50,2024-05-01,2024-05-08,1267.86,1921.62,1,1,"['1000076', '1000129']",1,0
day120,user_60,2024-05-09,2024-05-16,1184.9,1020.42,1,1,"['1000042', '1000067', '1000135']",0,1
day90,user_113,2024-02-02,2024-02-09,1729.8,1307.28,0,1,"['1000018', '1000002', '1000117']",1,0
day31,user_62,2024-06-08,2024-06-15,4792.76,4486.19,0,1,['1000054'],1,0
day31,user_96,2024-01-19,2024-01-26,777.92,1328.8,1,1,"['1000124', '1000039', '1000048', '1000075']",1,0
day61,user_119,2024-04-05,2024-04-12,4314.2,4367.91,0,0,"['1000072', '1000040', '1000112', '1000139']",1,0
day61,user_157,2024-01-15,2024-01-22,394.99,475.13,1,1,['1000089'],1,0
day120,user_154,2024-06-22,2024-06-29,2604.66,2725.46,1,1,"['1000006', '1000049']",1,0
day61,user_81,2024-05-19,2024-05-26,4421.73,4642.26,1,1,['1000086'],1,0
day61,user_177,2024-01-27,2024-02-03,3289.48,3340.67,1,1,['1000148'],1,0
day1,user_184,2024-06-04,2024-06-11,3302.11,3643.04,2,3,['1000060'],1,0
day31,user_197,2024-01-26,2024-02-02,3354.19,3455.24,2,2,['1000118'],0,1
day90,user_187,2024-06-15,2024-06-22,3155.34,3333.5,1,1,"['1000011', '1000062', '1000121']",1,0
day1,user_50,2024-05-24,2024-05-31,1042.74,1572.23,1,2,"['1000076', '1000129']",1,0
day61,user_128,2024-05-08,2024-05-15,4680.95,4678.61,1,1,"['1000129', '1000125', '1000064', '1000013']",0,1
day31,user_271,2024-04-04,2024-04-11,2749.18,2647.46,2,2,"['1000142', '1000061', '1000121', '1000125']",1,0
day1,user_48,2024-01-26,2024-02-02,406.89,533.62,1,2,"['1000067', '1000128']",1,0
day1,user_75,2024-06-11,2024-06-18,0.0,0.0,1,2,"['1000060', '1000071', '1000124', '1000054']",1,0
day90,user_274,2024-04-13,2024-04-20,6069.49,7135.77,1,2,"['1000103', '1000062', '1000078', '1000148']",1,0
day120,user_163,2024-04-06,2024-04-13,5943.1,5727.31,1,1,"['1000029', '1000098']",0,1
day5,user_190,2024-05-11,2024-05-18,3464.0,3261.29,1,1,"['1000098', '1000126', '1000102']",0,1
day5,user_118,2024-04-27,2024-05-04,4959.74,5168.85,0,0,['1000094'],1,0
day120,user_135,2024-05-27,2024-06-03,1011.28,1263.13,1,2,['1000109'],1,0
day61,user_36,2024-04-22,2024-04-29,1594.93,2342.06,1,1,['1000137'],1,0
day61,user_283,2024-05-29,2024-06-05,3082.38,3127.24,0,0,"['1000047', '1000049']",0,1
day90,user_264,2024-05-03,2024-05-10,4686.95,4917.9,1,1,"['1000145', '1000097']",1,0
day1,user_166,2024-04-13,2024-04-20,3654.19,4670.19,1,1,"['1000000', '1000133', '1000137']",1,0
day31,user_33,2024-06-12,2024-06-19,4774.02,4710.01,1,1,"['1000101', '1000117']",0,1
